1062 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 5, 58, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/searchActor.php HTTP/1.1', '200', '14785', 'searchActor', 'http://clabsql.clamv.jacobs-university.de/~halnahas/', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36']
1063 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 5, 59, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/person.php?id=1 HTTP/1.1', '200', '2314', 'person', 'http://clabsql.clamv.jacobs-university.de/~halnahas/searchActor.php', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36']
1092 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 15, 44, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/addCast.php HTTP/1.1', '200', '950', 'addCast', '-', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36']
1093 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 15, 46, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '7374', 'admin']
1098 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 15, 55, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '1861', 'admin']
1103 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 16, 24, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3726', 'admin']
1107 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 17, 10, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '4136', 'admin']
1110 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 17, 27, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3726', 'admin']
1113 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 17, 29, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3726', 'admin']
1116 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 18, 7, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3579', 'admin']
1119 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 18, 21, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3584', 'admin']
1122 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 18, 22, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3584', 'admin']
1141 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 18, 53, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3605', 'admin']
1144 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 19, 5, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3599', 'admin']
1147 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 19, 7, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3599', 'admin']
1150 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 19, 8, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3599', 'admin']
1153 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 19, 9, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3599', 'admin']
1155 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 19, 13, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/index.php HTTP/1.1', '200', '7374', 'index']
1158 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 19, 20, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3599', 'admin']
1161 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 19, 30, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3600', 'admin']
1164 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 19, 31, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3600', 'admin']
1167 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 19, 37, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3600', 'admin']
1170 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 19, 49, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/index.php HTTP/1.1', '200', '7374', 'index']
1174 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 20, 19, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3600', 'admin']
1181 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 20, 38, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3606', 'admin']
1188 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 20, 50, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3606', 'admin']
1193 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 21, 2, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3606', 'admin']
1196 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 21, 5, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3606', 'admin']
1202 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 21, 35, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3611', 'admin']
1207 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 21, 46, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3611', 'admin']
1216 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 22, 34, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3620', 'admin']
1238 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 23, 42, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3773', 'admin']
1241 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 23, 53, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3772', 'admin']
1246 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 24, 58, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3772', 'admin']
1249 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 25, 9, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3772', 'admin']
1252 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 25, 39, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3376', 'admin']
1255 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 26, 9, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3381', 'admin']
1258 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 26, 14, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3376', 'admin']
1267 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 28, 45, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3378', 'admin']
1270 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 28, 54, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php? HTTP/1.1', '200', '3378', 'admin']
1273 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 28, 55, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php? HTTP/1.1', '200', '3378', 'admin']
1279 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 29, 30, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php? HTTP/1.1', '200', '3411', 'admin']
1282 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 29, 31, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3411', 'admin']
1284 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 29, 33, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3411', 'admin']
1314 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 32, 41, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3454', 'admin']
1317 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 32, 43, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3458', 'admin']
1319 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 32, 46, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3458', 'admin']
1321 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 32, 47, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3458', 'admin']
1323 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 32, 50, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/index.php HTTP/1.1', '200', '7374', 'index']
1326 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 32, 53, tzinfo=tzoffset(None, 3600)), 'GET /~halnahas/admin.php HTTP/1.1', '200', '3454', 'admin']
1328 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 33, 4, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3458', 'admin']
1331 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 33, 7, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3458', 'admin']
1345 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 34, 13, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3531', 'admin']
1348 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 34, 20, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3531', 'admin']
1353 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 34, 21, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3531', 'admin']
1356 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 34, 22, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3531', 'admin']
1360 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 34, 22, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3531', 'admin']
1363 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 34, 23, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3531', 'admin']
1365 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 34, 23, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3531', 'admin']
1367 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 34, 23, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3531', 'admin']
1370 - ['10.82.226.232', '-', '-', datetime.datetime(2021, 11, 11, 12, 34, 24, tzinfo=tzoffset(None, 3600)), 'POST /~halnahas/admin.php HTTP/1.1', '200', '3531', 'admin']
